"Euro related to foreign currencies",""
"ECB rates at 08.03.2021",""
"Currency Code","Currency Rate"
"AUD","1.5499"
"BGN","1.9558"
"BRL","6.8228"
"CAD","1.5035"
"CHF","1.1087"
"CNY","7.7446"
"CZK","26.4170"
"DKK","7.4362"
"GBP","0.8573"
"HKD","9.2183"
"HRK","7.5780"
"HUF","367.1900"
"IDR","17039.5800"
"ILS","3.9612"
"INR","87.0475"
"ISK","152.7000"
"JPY","128.9000"
"KRW","1351.6800"
"MXN","25.5759"
"MYR","4.8740"
"NOK","10.1785"
"NZD","1.6673"
"PHP","57.8030"
"PLN","4.6002"
"RON","4.8852"
"RUB","88.7408"
"SEK","10.1803"
"SGD","1.5996"
"THB","36.5350"
"TRY","9.1062"
"USD","1.1866"
"ZAR","18.3582"
